"System Timestamp","Latitude","Longitude","Altitude"
1400138456000,52.84276,9.232478,76.900024
1400138458000,52.842728,9.232475,76.599976
1400138459000,52.84274,9.232443,83.900024
1400138460000,52.84275,9.232463,89.0
1400138461000,52.842743,9.232473,87.29999
1400138462000,52.842743,9.232463,88.0
1400138463000,52.842743,9.232463,88.0
1400138464000,52.842743,9.232463,88.0
1400138465000,52.842743,9.232463,88.0
1400138466000,52.842743,9.232463,88.0
1400138467000,52.842743,9.232463,88.0
1400138468000,52.842743,9.232463,88.0
1400138469000,52.842728,9.232449,86.20001
1400138470000,52.84272,9.232446,86.0
1400138471000,52.842716,9.232442,85.79999
1400138472000,52.842712,9.232436,86.20001
1400138473000,52.842712,9.232432,86.400024
1400138474000,52.84271,9.232432,86.099976
1400138475000,52.842705,9.232429,86.29999
1400138476000,52.842705,9.232425,86.5
1400138477000,52.842705,9.232425,86.5
1400138478000,52.842705,9.232425,86.5
1400138479000,52.842705,9.232425,86.5
1400138480000,52.842705,9.232425,86.5
1400138481000,52.842705,9.232425,86.5
1400138482000,52.842674,9.232411,85.70001
1400138483000,52.842674,9.232418,84.900024
1400138484000,52.842674,9.232418,84.599976
1400138485000,52.842674,9.232419,84.599976
1400138486000,52.842674,9.232419,84.599976
1400138487000,52.842674,9.232419,84.599976
1400138488000,52.842674,9.232419,84.599976
1400138489000,52.842674,9.232419,84.599976
1400138490000,52.842674,9.232419,84.599976
1400138491000,52.842674,9.232419,84.599976
1400138492000,52.842674,9.232419,84.599976
1400138493000,52.842674,9.232419,84.599976
1400138494000,52.842674,9.232419,84.599976
1400138495000,52.842674,9.232419,84.599976
1400138496000,52.842674,9.232419,84.599976
1400138497000,52.842674,9.232419,84.599976
1400138498000,52.842674,9.232419,84.599976
1400138499000,52.842674,9.232419,84.599976
1400138500000,52.842674,9.232419,84.599976
1400138501000,52.842674,9.232419,84.599976
1400138502000,52.842674,9.232419,84.599976
1400138503000,52.842674,9.232419,84.599976
1400138504000,52.842674,9.232419,84.599976
1400138505000,52.842674,9.232419,84.599976
1400138506000,52.842674,9.232419,84.599976
1400138507000,52.842674,9.232419,84.599976
1400138508000,52.842674,9.232419,84.599976
1400138509000,52.842674,9.232419,84.599976
1400138510000,52.842674,9.232419,84.599976
1400138511000,52.842674,9.232419,84.599976
1400138512000,52.842674,9.232419,84.599976
1400138513000,52.842674,9.232419,84.599976
1400138514000,52.842674,9.232419,84.599976
1400138515000,52.842674,9.232419,84.599976
1400138516000,52.842674,9.232419,84.599976
1400138517000,52.842674,9.232419,84.599976
1400138518000,52.842674,9.232419,84.599976
1400138519000,52.842674,9.232419,84.599976
1400138520000,52.842674,9.232419,84.599976
1400138521000,52.842674,9.232419,84.599976
1400138522000,52.842674,9.232419,84.599976
1400138523000,52.842674,9.232419,84.599976
1400138524000,52.842674,9.232419,84.599976
1400138525000,52.842674,9.232419,84.599976
1400138526000,52.842674,9.232419,84.599976
1400138527000,52.842674,9.232419,84.599976
1400138528000,52.842674,9.232419,84.599976
1400138529000,52.842674,9.232419,84.599976
1400138530000,52.842674,9.232419,84.599976
1400138531000,52.842674,9.232419,84.599976
1400138532000,52.842674,9.232419,84.599976
1400138533000,52.842674,9.232419,84.599976
1400138534000,52.842674,9.232419,84.599976
1400138535000,52.842674,9.232419,84.599976
1400138536000,52.842674,9.232419,84.599976
1400138537000,52.842674,9.232419,84.599976
1400138538000,52.842674,9.232419,84.599976
1400138539000,52.842674,9.232419,84.599976
1400138540000,52.842674,9.232419,84.599976
1400138541000,52.842674,9.232419,84.599976
1400138542000,52.842674,9.232419,84.599976
1400138543000,52.842674,9.232419,84.599976
1400138544000,52.842674,9.232419,84.599976
1400138545000,52.842674,9.232419,84.599976
1400138546000,52.842674,9.232419,84.599976
1400138547000,52.842674,9.232419,84.599976
1400138548000,52.842674,9.232419,84.599976
1400138549000,52.842674,9.232419,84.599976
1400138550000,52.842674,9.232419,84.599976
1400138551000,52.842674,9.232419,84.599976
1400138552000,52.842674,9.232419,84.599976
1400138553000,52.842674,9.232419,84.599976
1400138554000,52.842674,9.232419,84.599976
1400138555000,52.842674,9.232419,84.599976
1400138557000,52.842674,9.232419,84.599976
1400138558000,52.842674,9.232419,84.599976
1400138559000,52.842674,9.232419,84.599976
1400138560000,52.842674,9.232419,84.599976
1400138561000,52.842674,9.232419,84.599976
1400138562000,52.842674,9.232419,84.599976
1400138563000,52.842674,9.232419,84.599976
1400138564000,52.842674,9.232419,84.599976
1400138565000,52.842674,9.232419,84.599976
1400138566000,52.842674,9.232419,84.599976
1400138567000,52.842674,9.232419,84.599976
1400138568000,52.842674,9.232419,84.599976
1400138569000,52.842674,9.232419,84.599976
1400138570000,52.842674,9.232419,84.599976
1400138571000,52.842674,9.232419,84.599976
1400138572000,52.842674,9.232419,84.599976
1400138573000,52.842674,9.232419,84.599976
1400138574000,52.842674,9.232419,84.599976
1400138575000,52.842674,9.232419,84.599976
1400138576000,52.842674,9.232419,84.599976
1400138577000,52.842674,9.232419,84.599976
1400138578000,52.842674,9.232419,84.599976
1400138579000,52.842674,9.232419,84.599976
1400138580000,52.842674,9.232419,84.599976
1400138581000,52.842674,9.232419,84.599976
1400138582000,52.842674,9.232419,84.599976
1400138583000,52.842674,9.232419,84.599976
1400138584000,52.842674,9.232419,84.599976
1400138585000,52.842674,9.232419,84.599976
1400138586000,52.842674,9.232419,84.599976
1400138587000,52.842674,9.232419,84.599976
1400138588000,52.842674,9.232419,84.599976
1400138589000,52.842674,9.232419,84.599976
1400138590000,52.842674,9.232419,84.599976
1400138591000,52.842674,9.232419,84.599976
1400138592000,52.842674,9.232419,84.599976
1400138593000,52.842674,9.232419,84.599976
1400138594000,52.842674,9.232419,84.599976
1400138595000,52.842674,9.232419,84.599976
1400138596000,52.842674,9.232419,84.599976
1400138597000,52.842674,9.232419,84.599976
1400138598000,52.842674,9.232419,84.599976
1400138599000,52.842674,9.232419,84.599976
1400138600000,52.842674,9.232419,84.599976
1400138601000,52.842674,9.232419,84.599976
1400138602000,52.842674,9.232419,84.599976
1400138603000,52.842674,9.232419,84.599976
1400138604000,52.842632,9.232464,76.0
1400138605000,52.842625,9.232467,75.79999
1400138606000,52.84262,9.23247,75.5
1400138607000,52.842617,9.2324705,75.29999
1400138608000,52.842617,9.23247,75.20001
1400138609000,52.842617,9.2324705,75.0
1400138610000,52.842617,9.2324705,75.0
1400138611000,52.842617,9.2324705,75.0
1400138612000,52.842617,9.2324705,75.0
1400138613000,52.842617,9.2324705,75.0
1400138614000,52.842617,9.2324705,75.0
1400138615000,52.842617,9.2324705,75.0
1400138616000,52.84262,9.232471,73.900024
1400138617000,52.842617,9.2324705,73.599976
1400138618000,52.84261,9.2324705,73.400024
1400138619000,52.842606,9.232472,73.20001
1400138620000,52.842606,9.232474,73.099976
1400138621000,52.842606,9.232477,73.0
1400138622000,52.84261,9.232477,72.70001
1400138623000,52.84261,9.232477,72.70001
1400138624000,52.84261,9.232477,72.70001
1400138625000,52.84261,9.232477,72.70001
1400138626000,52.84261,9.232477,72.70001
1400138627000,52.84261,9.232477,72.70001
1400138628000,52.84261,9.232477,72.70001
1400138629000,52.84261,9.232477,72.70001
1400138630000,52.84261,9.232477,72.70001
1400138631000,52.84261,9.232477,72.70001
1400138632000,52.84261,9.232477,72.70001
1400138633000,52.84261,9.232477,72.70001
1400138634000,52.84261,9.232477,72.70001
1400138635000,52.84261,9.232477,72.70001
1400138636000,52.84261,9.232477,72.70001
1400138637000,52.84261,9.232477,72.70001
1400138638000,52.84261,9.232477,72.70001
1400138639000,52.84261,9.232477,72.70001
1400138640000,52.84261,9.232477,72.70001
1400138641000,52.84261,9.232477,72.70001
1400138642000,52.84261,9.232477,72.70001
1400138643000,52.84261,9.232477,72.70001
1400138644000,52.84261,9.232477,72.70001
1400138645000,52.84261,9.232477,72.70001
1400138646000,52.84261,9.232477,72.70001
1400138647000,52.84261,9.232477,72.70001
1400138648000,52.84261,9.232477,72.70001
1400138649000,52.84261,9.232477,72.70001
1400138650000,52.84261,9.232477,72.70001
1400138651000,52.84261,9.232477,72.70001
1400138652000,52.84261,9.232477,72.70001
1400138653000,52.84261,9.232477,72.70001
1400138654000,52.84261,9.232477,72.70001
1400138655000,52.84261,9.232477,72.70001
1400138657000,52.84261,9.232477,72.70001
1400138658000,52.84261,9.232477,72.70001
1400138659000,52.84261,9.232477,72.70001
