"Timestamp","Accelerometer X","Accelerometer Y","Accelerometer Z","Gyroscope X","Gyroscope Y","Gyroscope Z","System Timestamp"
1927.7649,0.1460597,0.022002384,9.41964,120.0,2.5454545,2.5454545,1400729739968
1945.343,-0.3342313,0.16646081,9.451665,206.90909,93.818184,1.0909091,1400729739969
1962.9211,-0.073347725,0.082989044,9.414883,5.090909,-4.7272725,-0.36363637,1400729739978
1980.4993,-0.18096575,0.24742332,9.23418,0.36363637,3.6363637,0.72727275,1400729739985
1998.0774,-0.09361936,0.15039217,9.538456,-1.4545455,-0.72727275,0.0,1400729739987
2015.6555,-0.13747427,0.14961624,9.318855,0.0,0.0,0.72727275,1400729739992
2033.2336,-0.32629934,0.19634789,9.233081,0.0,0.72727275,0.36363637,1400729739995
2050.8118,-0.34522998,0.22784427,9.454844,-0.36363637,0.0,0.36363637,1400729739997
2068.39,-0.27336586,0.21156356,9.333312,-0.36363637,0.0,0.0,1400729740012
2085.968,-0.25060853,0.10353721,9.417683,-0.72727275,0.0,0.0,1400729740013
2103.5461,-0.07750477,0.40482634,9.321016,-0.36363637,0.0,0.0,1400729740043
2121.1243,-0.07510655,0.32077828,9.47679,0.0,0.36363637,0.72727275,1400729740077
2138.7024,-0.11844645,0.107890174,9.096579,0.0,0.0,0.36363637,1400729740080
2156.2805,-0.14694154,0.17609534,9.440274,-0.36363637,-0.36363637,-0.36363637,1400729740084
2173.8586,-0.26133323,0.23080973,9.5141535,-0.36363637,0.0,0.36363637,1400729740117
2191.4368,-0.35430858,0.21340454,9.574213,0.0,0.36363637,0.72727275,1400729740120
2209.015,-0.28273985,0.24927476,9.475291,0.36363637,0.72727275,0.72727275,1400729740154
2226.593,-0.19853017,0.1035111,9.417161,0.36363637,0.36363637,0.72727275,1400729740155
2244.1711,-0.2508165,0.19911298,9.492464,0.36363637,0.72727275,0.72727275,1400729740187
2261.7493,-0.31313175,0.26453218,9.576358,0.0,0.36363637,0.36363637,1400729740190
2279.3274,-0.18973339,0.09498539,9.246647,0.36363637,0.72727275,0.72727275,1400729740223
2296.9055,-0.16843756,0.16186644,9.359777,0.72727275,0.36363637,1.0909091,1400729740224
2314.4836,-0.17636755,0.12124845,9.567826,-0.36363637,0.0,0.0,1400729740257
2332.0618,-0.29344898,0.29070002,9.48747,-0.36363637,-0.72727275,0.0,1400729740261
2349.64,-0.31567183,0.079305075,9.137122,-0.36363637,0.0,0.0,1400729740290
2367.218,-0.116287276,0.29111245,9.495719,0.0,0.0,0.36363637,1400729740324
2384.7961,-0.23152824,0.29839236,9.437235,-0.36363637,-0.36363637,0.0,1400729740330
2402.3743,-0.3271603,0.21329887,9.163937,0.0,0.36363637,0.36363637,1400729740333
2419.9524,-0.10428575,-0.044262595,9.31883,0.0,0.0,0.0,1400729740366
2437.5305,-0.24022007,0.25376472,9.56509,0.0,-0.36363637,0.36363637,1400729740367
2455.1086,-0.053099412,0.14435683,9.417748,0.0,0.0,0.0,1400729740396
2472.6868,-0.40810496,0.22587077,9.415375,0.0,0.0,0.72727275,1400729740399
2490.265,-0.19977981,0.16138089,9.350067,-0.36363637,-0.36363637,0.0,1400729740435
2507.843,-0.09822534,0.3194907,9.246957,0.0,0.36363637,0.36363637,1400729740436
2525.4211,-0.15735722,0.17610057,9.440378,0.36363637,0.36363637,0.36363637,1400729740474
2542.9993,-0.3242937,0.17468049,9.411977,0.0,0.36363637,0.36363637,1400729740475
2560.5774,0.009581206,0.16678974,9.458243,0.0,0.36363637,1.0909091,1400729740514
2578.1555,-0.26331943,0.14516805,9.229892,0.0,0.0,0.36363637,1400729740516
2595.7336,-0.105346866,0.025340514,9.28232,0.0,0.36363637,0.36363637,1400729740546
2613.3118,-0.08398107,0.2322246,9.542451,0.0,0.0,0.36363637,1400729740548
2630.89,-0.25910798,0.049181078,9.55505,-0.36363637,0.0,0.36363637,1400729740580
2648.468,-0.40751222,0.110837996,9.359617,-0.36363637,0.0,0.0,1400729740581
2666.0461,-0.22127971,0.1686138,9.290644,-0.36363637,0.0,0.36363637,1400729740613
2683.6243,-0.24029976,0.16741624,9.470774,0.36363637,0.72727275,0.72727275,1400729740614
2701.2024,-0.158224,0.22524427,9.402844,0.0,0.36363637,0.72727275,1400729740646
2718.7805,-0.32284972,0.09635128,9.478046,0.0,0.0,0.36363637,1400729740648
2736.3586,-0.16807024,0.23898762,9.47363,0.72727275,0.0,0.36363637,1400729740684
2753.9368,-0.20023651,0.051565766,9.194581,0.36363637,0.36363637,0.36363637,1400729740685
2771.515,-0.07489083,0.18227886,9.359863,0.36363637,0.36363637,0.36363637,1400729740717
2789.093,-0.200289,0.34130034,9.479068,0.36363637,0.36363637,0.36363637,1400729740722
2806.6711,-0.1890765,0.15214838,9.369498,0.0,0.36363637,0.36363637,1400729740758
2824.2493,-0.22023413,0.18485798,9.411446,0.72727275,0.72727275,0.72727275,1400729740760
2841.8274,-0.10606983,0.33302847,9.517713,0.36363637,0.72727275,1.0909091,1400729740786
2859.4055,-0.25137427,0.12098938,9.358563,0.0,0.36363637,0.36363637,1400729740793
2876.9836,-0.1261102,0.1760849,9.440065,0.36363637,0.72727275,0.72727275,1400729740837
2894.5618,-0.24232094,0.27493092,9.37617,-0.72727275,0.0,0.0,1400729740838
2912.14,-0.25117603,0.079068154,9.336465,-0.36363637,0.0,0.36363637,1400729740854
